name,volumeId,volumeNumber,year
Blood,volume::blood::2025::17,17,2025
Journal of Supercomputing,volume::journal of supercomputing::2014::9,9,2014
IEEE International Conference on Industrial Engineering and Engineering Management,volume::ieee international conference on industrial engineering and engineering management::2024::5,5,2024
MOCO,volume::moco::1998::18,18,1998
PLoS ONE,volume::plos one::2026::11,11,2026
Biological and Clinical Sciences Research Journal,volume::biological and clinical sciences research journal::2024::9,9,2024
Neurocritical Care,volume::neurocritical care::2013::17,17,2013
International Journal of Environmental Research and Public Health,volume::international journal of environmental research and public health::2024::10,10,2024
International Journal of Professional Business Review,volume::international journal of professional business review::2025::2,2,2025
Journal of Professional Nursing,volume::journal of professional nursing::2015::14,14,2015
Reliability Engineering & System Safety,volume::reliability engineering & system safety::2016::14,14,2016
Advancement of IoT in Blockchain Technology and its Applications,volume::advancement of iot in blockchain technology and its applications::2023::20,20,2023
International Conference on Grid and Cooperative Computing,volume::international conference on grid and cooperative computing::2007::3,3,2007
International Conference on Health Information Science,volume::international conference on health information science::2014::14,14,2014
Urban Ecosystems,volume::urban ecosystems::2025::17,17,2025
Journal of Airport Management,volume::journal of airport management::2011::14,14,2011
Circulation,volume::circulation::2025::7,7,2025
Biomolecules,volume::biomolecules::2020::11,11,2020
Neuroinformatics,volume::neuroinformatics::2010::15,15,2010
Pediatric emergency care,volume::pediatric emergency care::2008::11,11,2008
Journal of Social Welfare and Management,volume::journal of social welfare and management::2024::3,3,2024
Obstetric Medicine,volume::obstetric medicine::2011::6,6,2011
Information Sciences,volume::information sciences::2018::2,2,2018
Journal of Facilities Management,volume::journal of facilities management::2025::1,1,2025
Data in Brief,volume::data in brief::2022::15,15,2022
The Lancet Respiratory Medicine,volume::the lancet respiratory medicine::2020::8,8,2020
Environmental science and pollution research international,volume::environmental science and pollution research international::2024::2,2,2024
American Journal of Health-System Pharmacy,volume::american journal of health-system pharmacy::2007::15,15,2007
Frontiers in Aging Neuroscience,volume::frontiers in aging neuroscience::2024::18,18,2024
Cochrane Database of Systematic Reviews,volume::cochrane database of systematic reviews::2017::2,2,2017
BMC Medical Education,volume::bmc medical education::2023::17,17,2023
Journal of Social Science Studies,volume::journal of social science studies::2023::19,19,2023
Neurology,volume::neurology::2018::19,19,2018
International Scientific Journal of Engineering and Management,volume::international scientific journal of engineering and management::2025::12,12,2025
"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen","volume::zeitschrift fur evidenz, fortbildung und qualitat im gesundheitswesen::2026::20",20,2026
MITAT. Minimally invasive therapy & allied technologies,volume::mitat. minimally invasive therapy & allied technologies::2020::1,1,2020
Current Medical Research and Opinion,volume::current medical research and opinion::2005::14,14,2005
Accountability in Research,volume::accountability in research::2011::11,11,2011
Reflective Practice,volume::reflective practice::2025::17,17,2025
Cardiovascular and Interventional Radiology,volume::cardiovascular and interventional radiology::2020::18,18,2020
Applied Mathematics and Nonlinear Sciences,volume::applied mathematics and nonlinear sciences::2024::8,8,2024
Jurnal Pendidikan Ekonomi Undiksha,volume::jurnal pendidikan ekonomi undiksha::2024::11,11,2024
IEEE wireless communications,volume::ieee wireless communications::2018::6,6,2018
Journal of Multidisciplinary Academic and Practice Studies,volume::journal of multidisciplinary academic and practice studies::2024::8,8,2024
International Conference on Software and Data Technologies,volume::international conference on software and data technologies::2010::14,14,2010
Journal of Nursing Management,volume::journal of nursing management::2021::16,16,2021
Reconfigurable Communication-centric Systems-on-Chip,volume::reconfigurable communication-centric systems-on-chip::2019::10,10,2019
Journal of Perinatal Medicine,volume::journal of perinatal medicine::2005::7,7,2005
International Journal Of Management And Economics Fundamental,volume::international journal of management and economics fundamental::2025::13,13,2025
Journal of Pain Research,volume::journal of pain research::2023::18,18,2023
Extended Semantic Web Conference,volume::extended semantic web conference::2007::11,11,2007
International Journal of Emerging Technologies in Learning (iJET),volume::international journal of emerging technologies in learning (ijet)::2021::13,13,2021
SIGDIAL Conferences,volume::sigdial conferences::2024::13,13,2024
IEEE Internet of Things Journal,volume::ieee internet of things journal::2021::12,12,2021
"2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","volume::2020 ieee intl conf on parallel & distributed processing with applications, big data & cloud computing, sustainable computing & communications, social computing & networking (ispa/bdcloud/socialcom/sustaincom)::2020::8",8,2020
BMC Psychiatry,volume::bmc psychiatry::2021::11,11,2021
Trans. GIS,volume::trans. gis::1999::9,9,1999
IEEE transactions on circuits and systems for video technology (Print),volume::ieee transactions on circuits and systems for video technology (print)::2023::1,1,2023
Data Integration in the Life Sciences,volume::data integration in the life sciences::2008::3,3,2008
IEEE Symposium on Security and Privacy,volume::ieee symposium on security and privacy::2019::10,10,2019
Cureus,volume::cureus::2023::12,12,2023
Algorithmica,volume::algorithmica::2013::16,16,2013
Drugs - Real World Outcomes,volume::drugs - real world outcomes::2025::19,19,2025
Journal of AAPOS,volume::journal of aapos::2022::16,16,2022
International Conference on Advanced Information Systems Engineering,volume::international conference on advanced information systems engineering::2002::19,19,2002
Interventional Pain Medicine,volume::interventional pain medicine::2025::8,8,2025
Symposium on Advances in Databases and Information Systems,volume::symposium on advances in databases and information systems::2006::2,2,2006
SIGMOD Conference,volume::sigmod conference::2019::8,8,2019
SIGMOD Conference,volume::sigmod conference::2014::16,16,2014
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,volume::annual international acm sigir conference on research and development in information retrieval::2013::5,5,2013
Information Fusion,volume::information fusion::2019::8,8,2019
ACM Conference on Recommender Systems,volume::acm conference on recommender systems::2024::14,14,2024
Knowledge and Information Systems,volume::knowledge and information systems::2005::8,8,2005
GeoInformatica,volume::geoinformatica::2014::14,14,2014
Evidence-Based Medicine,volume::evidence-based medicine::2014::14,14,2014
International Symposium on Visual Computing,volume::international symposium on visual computing::2010::8,8,2010
International Conference on Data Technologies and Applications,volume::international conference on data technologies and applications::2019::20,20,2019
ACM Transactions on Management Information Systems,volume::acm transactions on management information systems::2019::1,1,2019
Quality of Life Research,volume::quality of life research::2021::18,18,2021
Evolutionary Systematics,volume::evolutionary systematics::2020::5,5,2020
Bioinform.,volume::bioinform.::2010::10,10,2010
"Proceedings. International Database Engineering and Applications Symposium, 2004. IDEAS '04.","volume::proceedings. international database engineering and applications symposium, 2004. ideas '04.::2004::15",15,2004
International Symposium on Mathematical Foundations of Computer Science,volume::international symposium on mathematical foundations of computer science::1980::4,4,1980
Cluster Computing,volume::cluster computing::2017::6,6,2017
AAAI Conference on Artificial Intelligence,volume::aaai conference on artificial intelligence::2011::19,19,2011
"18th IEEE Annual Conference on Computational Complexity, 2003. Proceedings.","volume::18th ieee annual conference on computational complexity, 2003. proceedings.::2003::14",14,2003
