from,to
"journal::2020 ieee intl conf on parallel & distributed processing with applications, big data & cloud computing, sustainable computing & communications, social computing & networking (ispa/bdcloud/socialcom/sustaincom)","volume::2020 ieee intl conf on parallel & distributed processing with applications, big data & cloud computing, sustainable computing & communications, social computing & networking (ispa/bdcloud/socialcom/sustaincom)::2020::8"
journal::bmc psychiatry,volume::bmc psychiatry::2021::11
journal::trans. gis,volume::trans. gis::1999::9
journal::ieee transactions on circuits and systems for video technology (print),volume::ieee transactions on circuits and systems for video technology (print)::2023::1
journal::data integration in the life sciences,volume::data integration in the life sciences::2008::3
journal::ieee symposium on security and privacy,volume::ieee symposium on security and privacy::2019::10
journal::cureus,volume::cureus::2023::12
journal::algorithmica,volume::algorithmica::2013::16
journal::drugs - real world outcomes,volume::drugs - real world outcomes::2025::19
journal::journal of aapos,volume::journal of aapos::2022::16
journal::international conference on advanced information systems engineering,volume::international conference on advanced information systems engineering::2002::19
journal::interventional pain medicine,volume::interventional pain medicine::2025::8
journal::symposium on advances in databases and information systems,volume::symposium on advances in databases and information systems::2006::2
journal::sigmod conference,volume::sigmod conference::2019::8
journal::sigmod conference,volume::sigmod conference::2014::16
journal::annual international acm sigir conference on research and development in information retrieval,volume::annual international acm sigir conference on research and development in information retrieval::2013::5
journal::information fusion,volume::information fusion::2019::8
journal::acm conference on recommender systems,volume::acm conference on recommender systems::2024::14
journal::knowledge and information systems,volume::knowledge and information systems::2005::8
journal::geoinformatica,volume::geoinformatica::2014::14
journal::evidence-based medicine,volume::evidence-based medicine::2014::14
journal::international symposium on visual computing,volume::international symposium on visual computing::2010::8
journal::international conference on data technologies and applications,volume::international conference on data technologies and applications::2019::20
journal::acm transactions on management information systems,volume::acm transactions on management information systems::2019::1
journal::quality of life research,volume::quality of life research::2021::18
journal::evolutionary systematics,volume::evolutionary systematics::2020::5
journal::bioinform.,volume::bioinform.::2010::10
