venueId,name
2022 2nd international conference on electrical engineering and control science (ic2ecs),2022 2nd International Conference on Electrical Engineering and Control Science (IC2ECS)
ieee pes innovative smart grid technologies conference europe,IEEE PES Innovative Smart Grid Technologies Conference Europe
annals of oncology,Annals of Oncology
2024 3rd international conference for innovation in technology (inocon),2024 3rd International Conference for Innovation in Technology (INOCON)
neurologijos seminarai,Neurologijos seminarai
bone marrow transplantation,Bone Marrow Transplantation
korean journal of teacher education,Korean Journal of Teacher Education
international journal of next-generation computing,International Journal of Next-Generation Computing
international journal of molecular sciences,International Journal of Molecular Sciences
pharmacy,Pharmacy
experiment@ international conference,Experiment@ International Conference
hydrology,Hydrology
tropical medicine and health,Tropical Medicine and Health
ieee transactions on information forensics and security,IEEE Transactions on Information Forensics and Security
ieee open journal of intelligent transportation systems,IEEE Open Journal of Intelligent Transportation Systems
"jurnal ekonomi manajemen, ilmu sosial dan politik","Jurnal Ekonomi Manajemen, Ilmu Sosial dan Politik"
cired 2021 - the 26th international conference and exhibition on electricity distribution,CIRED 2021 - The 26th International Conference and Exhibition on Electricity Distribution
"jurnal  ilmu sosial, humaniora dan seni","Jurnal  Ilmu Sosial, Humaniora dan Seni"
international journal for research in applied science and engineering technology,International Journal for Research in Applied Science and Engineering Technology
jurnal ilmiah manajemen dan bisnis,Jurnal Ilmiah Manajemen dan Bisnis
"advances in economics, management and political sciences","Advances in Economics, Management and Political Sciences"
precision agriculture,Precision Agriculture
industrial and organizational psychology,Industrial and Organizational Psychology
simtek : jurnal sistem informasi dan teknik komputer,Simtek : jurnal sistem informasi dan teknik komputer
2020 international conference on social and human sciences (icshs2020),2020 International Conference on Social and Human Sciences (ICSHS2020)
urologia journal,Urologia Journal
"conference on research, innovation and vision for the future in computing & communication technologies","Conference on Research, Innovation and Vision for the Future in Computing & Communication Technologies"
hydrology and earth system sciences,Hydrology and Earth System Sciences
acta medica international,Acta Medica International
2023 international conference on innovative data communication technologies and application (icidca),2023 International Conference on Innovative Data Communication Technologies and Application (ICIDCA)
conference of the open innovations association,Conference of the Open Innovations Association
bmj neurology open,BMJ Neurology Open
"моделирование, оптимизация и информационные технологии","МОДЕЛИРОВАНИЕ, ОПТИМИЗАЦИЯ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ"
software engineering and applications,Software Engineering and Applications
international journal on recent and innovation trends in computing and communication,International Journal on Recent and Innovation Trends in Computing and Communication
jubaedah jurnal pengabdian dan edukasi sekolah (indonesian journal of community services and school education),Jubaedah Jurnal Pengabdian Dan Edukasi Sekolah (Indonesian Journal Of Community Services And School Education)
supply chain forum: an international journal,Supply Chain Forum: an International Journal
peritoneal dialysis international,Peritoneal Dialysis International
financial counseling and planning,Financial Counseling and Planning
proceedings of the 2nd international conference on software engineering and information management,Proceedings of the 2nd International Conference on Software Engineering and Information Management
proc. acm program. lang.,Proc. ACM Program. Lang.
2024 asian conference on intelligent technologies (acoit),2024 Asian Conference on Intelligent Technologies (ACOIT)
transboundary and emerging diseases,Transboundary and Emerging Diseases
majallah-i dānishgāh-i ̒ulūm-i pizishkī-i qum,Majallah-i Dānishgāh-i ̒Ulūm-i Pizishkī-i Qum
vestnik of saint petersburg university. philosophy and conflict studies,Vestnik of Saint Petersburg University. Philosophy and Conflict Studies
journal of life economics,Journal of Life Economics
"conference on computer graphics, artificial intelligence, and data processing","Conference on Computer Graphics, Artificial Intelligence, and Data Processing"
procedia computer science,Procedia Computer Science
journal of mathematics,Journal of mathematics
"international conference on computing, communication and automation","International Conference on Computing, Communication and Automation"
frontiers in ecology and evolution,Frontiers in Ecology and Evolution
revista panamericana de salud publica-pan american journal of public health,Revista Panamericana De Salud Publica-pan American Journal of Public Health
parallel processing and applied mathematics,Parallel Processing and Applied Mathematics
international conference on road and rail infrastructure,International Conference on Road and Rail Infrastructure
journal of social change,Journal of Social Change
"jmael: journal of management, administration and educational leadership","JMAEL: Journal of Management, Administration and Educational Leadership"
